turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
10,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,-1,-1,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,4,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,-1,-1,-1,43,272,6,1,9
11,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,-1,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,0,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,-1,-1,-1,43,272,6,1,5
12,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,-1,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,0,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,-1,-1,-1,43,272,6,4,1
13,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,0,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,-1,-1,-1,43,272,6,5,2
14,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,0,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,5,3
15,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,-1,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,4,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,-1,-1,-1,48,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,3,9
16,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,641,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,4,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,588,-1,-1,0,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,1,9
17,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,641,-1,-1,-1,-1,100,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,4,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,-1,-1,-1,27,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,588,-1,-1,0,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,1,1
18,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,70,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,641,-1,-1,-1,-1,0,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,0,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,-1,-1,-1,27,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,588,-1,-1,0,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,1,5
19,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,641,-1,-1,-1,-1,0,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,1,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,419,-1,-1,27,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,588,-1,-1,0,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,1,6
20,5.01152,3,1,18,18,71,74,88,113,93,86,800,835,233,-1,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,0,0,0,20.16408,4,3,18,18,63,74,61,115,90,102,687,735,-1,-1,-1,0,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,767,6,414,-1,-1,0,0,0,10.71584,14,2,18,18,85,70,79,120,115,90,641,-1,-1,-1,-1,0,0,0,12.53308,17,5,18,18,80,85,141,101,101,66,-1,-1,-1,-1,-1,0,0,0,1,24.41264,7,13,18,18,46,67,137,55,138,28,-1,-1,-1,-1,-1,0,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,175,419,-1,-1,27,0,0,6.4676,0,7,18,18,76,70,63,133,75,103,811,-1,-1,-1,-1,0,0,4,1.21324,11,10,18,18,68,65,60,103,81,103,87,825,588,-1,-1,0,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,567,-1,-1,56,272,6,1,6
