turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
10,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,-1,-1,-1,-1,-1,84,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,89,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,2,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,100,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,7
11,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,-1,-1,-1,-1,84,0,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,89,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,2,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,100,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,2,7
12,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,74,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,89,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,2,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
13,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,89,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,2,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,81,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
14,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,79,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,87,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,9
15,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,72,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,-1,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
16,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,66,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
17,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,60,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
18,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,53,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
19,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,-1,-1,-1,40,234,0,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,1
20,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,-1,-1,88,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,42,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,4,2
21,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,-1,-1,76,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,54,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,1,2
22,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,-1,-1,63,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,65,0,0,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,0,0,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,1,2
23,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,47,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,-1,-1,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,3
24,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,34,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,-1,-1,-1,-1,75,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,4
25,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,28,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,1
26,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,88,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,3
27,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,82,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,3
28,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,75,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,3
29,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,63,234,6,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,-1,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,1
30,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,49546.0414,1,2,4,18,302,105,100,109,100,100,85,245,-1,-1,-1,-1,88,0,0,15.10476,2,8,18,18,92,115,82,97,87,73,194,389,-1,-1,-1,52,270,0,16.39068,15,17,18,18,82,75,97,66,115,71,432,602,-1,-1,-1,0,0,0,4.50004,2,2,18,18,79,80,61,71,100,80,7,20,606,641,-1,88,234,1,26.44912,11,15,18,18,78,103,73,86,63,97,735,528,-1,-1,-1,41,0,0,4,8.2832,13,8,18,18,67,86,81,125,85,83,-1,-1,-1,-1,-1,100,0,0,15.62136,15,15,18,18,94,124,103,115,93,73,825,-1,-1,-1,-1,19,0,2,3.23896,8,9,18,18,81,123,90,66,63,88,789,-1,-1,-1,-1,0,0,0,27.46712,12,9,18,18,107,89,107,81,86,82,806,628,17,-1,-1,100,272,6,19.13404,16,16,18,18,78,87,137,68,138,30,427,717,567,308,-1,100,234,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,3,3
