turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
10,10.54596,10,0,18,18,95,86,80,111,91,93,-1,-1,-1,-1,-1,100,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,100,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,3,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,-1,-1,-1,-1,-1,100,0,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,-1,-1,-1,46,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,4,3
11,10.54596,10,0,18,18,95,86,80,111,91,93,-1,-1,-1,-1,-1,100,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,100,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,3,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,-1,-1,-1,-1,-1,100,0,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,25,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,4,3
12,10.54596,10,0,18,18,95,86,80,111,91,93,-1,-1,-1,-1,-1,100,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,37,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,3,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,-1,-1,-1,-1,-1,100,0,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,5,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,4,3
13,10.54596,10,0,18,18,95,86,80,111,91,93,-1,-1,-1,-1,-1,100,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,0,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,-1,-1,-1,-1,-1,100,0,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,5
14,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,100,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,0,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,-1,-1,-1,-1,100,0,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,5
15,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,100,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,1,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,91,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,6
16,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,0,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,-1,-1,-1,-1,-1,100,0,0,5,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,81,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,10
17,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,0,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,500,-1,-1,-1,-1,35,0,0,5,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,71,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,10
18,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,0,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,100,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,500,-1,-1,-1,-1,0,0,0,4,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,61,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,9
19,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,0,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,100,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,0,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,500,-1,-1,-1,-1,0,0,0,2,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,51,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,7
20,10.54596,10,0,18,18,95,86,80,111,91,93,284,-1,-1,-1,-1,0,0,0,17.29784,17,5,18,18,80,96,75,95,105,110,-1,-1,-1,-1,-1,0,0,0,13.94624,14,5,18,18,86,125,70,88,81,116,-1,-1,-1,-1,-1,0,0,0,26.6846,0,13,18,18,76,100,123,105,66,53,866,752,654,600,-1,0,0,0,11.98096,0,9,18,18,84,118,73,73,66,90,-1,-1,-1,-1,-1,0,0,0,6.10824,0,1,18,18,78,93,70,116,76,100,500,-1,-1,-1,-1,0,0,0,2,25.35348,1,16,18,18,75,73,100,92,76,82,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,41,270,0,5.69884,14,2,18,18,91,115,93,99,81,85,175,-1,-1,-1,-1,0,0,4,14.41772,14,1,18,18,78,93,71,128,105,92,-1,-1,-1,-1,-1,100,0,0,35.6966,17,14,18,18,94,91,81,115,116,85,171,95,249,-1,-1,0,270,4,12.23932,7,14,18,18,82,128,86,66,76,108,-1,-1,-1,-1,-1,100,0,0,1,7
