turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
10,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,26,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,-1,-1,-1,-1,82,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,2,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,-1,-1,-1,51,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,1,passive
11,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,26,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,-1,-1,-1,-1,82,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,2,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,-1,-1,-1,51,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,1,passive
12,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,-1,-1,-1,-1,82,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,51,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,10,passive
13,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,-1,-1,-1,-1,82,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,-1,-1,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,38,0,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,10,passive
14,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,-1,-1,-1,-1,7,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,-1,-1,-1,-1,100,272,6,4,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,26,0,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,9,passive
15,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,-1,-1,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,64,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,10,passive
16,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,-1,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,26,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,1,aggressive
17,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,-1,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,14,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,1,aggressive
18,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,70,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,2,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,2,aggressive
19,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,83,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,5,1,aggressive
20,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,95,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,-1,-1,-1,-1,64,0,0,5,2,aggressive
21,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,-1,-1,-1,-1,38,0,0,5,2,aggressive
22,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,100,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,-1,-1,-1,38,0,0,5,1,aggressive
23,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,43,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,-1,-1,11,0,0,5,2,aggressive
24,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,56,272,6,5,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,-1,-1,11,0,0,5,1,aggressive
25,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,0,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,-1,-1,11,0,0,5,5,passive
26,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,0,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,1,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,753,-1,11,0,0,5,6,passive
27,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,0,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,217,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,1,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,753,-1,11,0,0,5,6,passive
28,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,0,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,217,668,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,1,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,753,-1,11,0,0,5,1,aggressive
29,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,0,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,217,668,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,1,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,753,-1,11,0,0,5,2,aggressive
30,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,0,0,0,11.28904,14,16,18,18,80,111,108,90,95,86,217,668,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,247,-1,-1,-1,-1,0,0,4,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,194,79,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,43,414,628,-1,-1,0,272,6,1,17.96308,7,10,18,18,65,71,104,68,131,31,800,43,-1,-1,-1,68,234,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,767,864,-1,-1,0,162,5,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,806,-1,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,0,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,767,16,656,753,-1,11,0,0,5,2,aggressive
