turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,-1,-1,-1,-1,44,0,0,5,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,15,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,4,10,444,415
11,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,5,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,1,444,400
12,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,5,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,80,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,2,444,380
13,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,-1,-1,-1,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,-1,-1,-1,86,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,9,444,386
14,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,-1,-1,-1,-1,73,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,-1,-1,73,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,9,417,373
15,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,-1,-1,-1,45,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,-1,-1,50,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,1,389,350
16,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,100,0,0,1,2,444,400
17,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,-1,-1,-1,-1,-1,85,0,0,5,2,444,385
18,4.25632,3,5,18,18,60,53,98,113,113,56,-1,-1,-1,-1,-1,75,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,-1,-1,-1,-1,85,0,0,5,5,419,385
19,4.25632,3,5,18,18,60,53,98,113,113,56,384,-1,-1,-1,-1,75,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,47,0,0,5,5,419,347
20,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,-1,-1,-1,75,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,15,0,0,5,1,419,315
21,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,-1,-1,64,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,15,0,0,5,2,408,315
22,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,3,356,300
23,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,767,-1,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,3,356,300
24,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,58,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,1,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,6,314,300
25,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,1,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,6,356,300
26,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,313,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,1,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,1,356,300
27,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,313,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,1,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,-1,-1,-1,-1,100,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,3,1,356,300
28,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,313,273,-1,-1,14,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,100,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,1,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,757,-1,-1,-1,40,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,3,2,270,240
29,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,313,273,-1,-1,14,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,-1,-1,68,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,757,-1,-1,-1,40,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,3,9,238,240
30,4.25632,3,5,18,18,60,53,98,113,113,56,384,794,606,688,-1,12,0,1,25.45504,16,2,18,18,70,67,151,67,147,40,600,313,273,-1,-1,14,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,9.37276,15,7,18,18,84,78,70,113,85,92,588,233,-1,-1,-1,0,270,0,13.78328,10,17,18,18,65,66,78,109,101,104,273,641,600,151,-1,74,234,0,7.96552,1,9,18,18,85,130,76,110,73,93,247,6,-1,-1,-1,44,0,0,4,7.59568,0,9,18,18,131,100,105,58,98,73,767,414,-1,-1,-1,100,272,6,19.19672,2,8,18,18,61,76,176,38,108,21,729,615,194,600,-1,100,234,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,0,0,13.62048,11,14,18,18,72,141,93,56,76,86,239,757,-1,-1,-1,40,0,0,22.38404,13,16,18,18,63,91,76,135,83,86,654,-1,-1,-1,-1,0,0,0,8.51804,10,7,18,18,100,68,68,110,96,76,260,280,-1,-1,-1,0,0,0,0,3,244,240
