turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,0,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,-1,-1,-1,-1,-1,100,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,6,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,2,9,391,481
11,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,24,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,-1,-1,-1,-1,-1,100,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,0,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,6,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,2,5,415,481
12,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,-1,-1,-1,-1,-1,100,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,2,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,6,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,2,7,391,481
13,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,-1,-1,-1,-1,100,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,2,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,6,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,3,7,391,481
14,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,100,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,2,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,4,1,391,475
15,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,-1,-1,-1,91,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,4,6,291,475
16,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,-1,-1,97,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,-1,-1,-1,100,0,0,5,2,297,475
17,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,-1,-1,98,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,100,0,0,5,3,298,475
18,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,100,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,100,0,0,2,3,300,475
19,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,64,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,14,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,100,0,0,2,4,264,389
20,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,70,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,14,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,100,0,0,2,1,270,389
21,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,36,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,100,0,0,5,4,236,375
22,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,42,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,72,0,0,5,4,242,347
23,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,48,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,44,0,0,5,4,248,319
24,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,54,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,44,0,0,5,4,254,319
25,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,0,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,100,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,44,0,0,5,9,200,319
26,7.89092,8,16,18,18,88,97,98,77,73,56,194,20,-1,-1,-1,0,234,0,8.10416,4,1,18,18,73,82,93,63,110,73,718,247,142,563,-1,0,234,0,16.01388,14,17,18,18,73,92,73,81,85,85,95,110,-1,-1,-1,0,0,0,1.98364,10,1,18,18,65,111,63,95,83,75,-1,-1,-1,-1,-1,0,0,0,3.01052,10,12,18,18,150,77,96,32,60,31,753,-1,-1,-1,-1,0,0,0,13.63916,15,4,18,18,63,91,63,115,68,115,-1,-1,-1,-1,-1,100,0,0,4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,193,-1,-1,-1,-1,0,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,0,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,403,-1,-1,75,0,0,19.5578,13,16,18,18,66,68,130,121,110,60,95,245,209,-1,-1,44,0,0,5,9,100,319
