turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
31,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,11,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,3,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,100,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,82,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,70,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,8,199,352
32,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,11,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,3,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,82,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,70,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,3,1,199,252
33,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,-1,-1,-1,-1,-1,75,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,82,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,3,7,163,201
34,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,-1,-1,-1,-1,66,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,56,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,7,154,175
35,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,-1,-1,-1,-1,56,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,78,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,1,144,197
36,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,-1,-1,-1,-1,46,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,100,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,1,134,219
37,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,-1,-1,-1,-1,30,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,73,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,1,118,192
38,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,88,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,8,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,2,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,97,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,1,96,216
39,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,82,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,-1,-1,83,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,6,82,202
40,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,41,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,89,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,2,41,208
41,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,53,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,95,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,4,53,214
42,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,14,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,100,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,2,2,14,219
43,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,64,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,100,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,0,5,64,219
44,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,31,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,145,-1,-1,-1,-1,91,270,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,100,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,0,5,31,210
45,1.72852,10,9,18,18,93,103,76,86,91,120,779,729,-1,-1,-1,0,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,95,402,486,75,-1,0,0,0,16.54976,0,9,18,18,110,131,90,70,73,73,217,388,-1,-1,-1,0,270,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,7.68188,3,1,18,18,72,79,90,123,88,86,233,-1,-1,-1,-1,0,0,0,23.3768,0,13,18,18,72,101,120,51,56,47,767,139,712,-1,-1,0,0,6,1,24.41716,15,9,18,18,90,85,87,122,78,96,145,-1,-1,-1,-1,81,270,0,7.53304,5,3,18,18,68,70,63,90,78,123,835,152,384,-1,-1,0,0,0,19.19672,2,8,18,18,61,76,176,38,108,21,615,806,600,194,-1,100,234,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,218,628,-1,-1,19,272,6,11.01068,16,13,18,18,80,80,120,86,110,50,729,-1,-1,-1,-1,0,0,0,1.31,3,7,18,18,81,90,108,111,83,73,835,151,628,-1,-1,0,281,2,0,5,0,200
